competition_id,competition_name,parent_id,type,gender,category_name,category_id
sr:competition:12229,IPTL,,singles,men,IPTL,sr:category:1012
sr:competition:14814,"Juniors AO, Melbourne, Australia Men Singles",sr:competition:14812,singles,men,Juniors,sr:category:1474
sr:competition:14816,"Juniors AO, Melbourne, Australia Men Doubles",sr:competition:14812,doubles,men,Juniors,sr:category:1474
sr:competition:14818,"Juniors AO, Melbourne, Australia Women Singles",sr:competition:14812,singles,women,Juniors,sr:category:1474
sr:competition:14820,"Juniors AO, Melbourne, Australia Women Doubles",sr:competition:14812,doubles,women,Juniors,sr:category:1474
sr:competition:15399,"Juniors French Open, Paris, France Men Singles",sr:competition:15397,singles,men,Juniors,sr:category:1474
sr:competition:15401,"Juniors French Open, Paris, France Men Doubles",sr:competition:15397,doubles,men,Juniors,sr:category:1474
sr:competition:15403,"Juniors French Open, Paris, France Women Singles",sr:competition:15397,singles,women,Juniors,sr:category:1474
sr:competition:15405,"Juniors French Open, Paris, France Women Doubles",sr:competition:15397,doubles,women,Juniors,sr:category:1474
sr:competition:15660,"Juniors Wimbledon, London, GB Women Singles",sr:competition:15658,singles,women,Juniors,sr:category:1474
sr:competition:15678,"Juniors Wimbledon, London, GB Men Singles",sr:competition:15658,singles,men,Juniors,sr:category:1474
sr:competition:15680,"Juniors Wimbledon, London, GB Men Doubles",sr:competition:15658,doubles,men,Juniors,sr:category:1474
sr:competition:15682,"Juniors Wimbledon, London, GB Women Doubles",sr:competition:15658,doubles,women,Juniors,sr:category:1474
sr:competition:18032,"Juniors US Open, New York, USA Men Singles",sr:competition:18030,singles,men,Juniors,sr:category:1474
sr:competition:18034,"Juniors US Open, New York, USA Men Doubles",sr:competition:18030,doubles,men,Juniors,sr:category:1474
sr:competition:18036,"Juniors US Open, New York, USA Women Singles",sr:competition:18030,singles,women,Juniors,sr:category:1474
sr:competition:18038,"Juniors US Open, New York, USA Women Doubles",sr:competition:18030,doubles,women,Juniors,sr:category:1474
sr:competition:14834,"Legends AO, Melbourne, Australia Men Doubles",sr:competition:14832,doubles,men,Legends,sr:category:1475
sr:competition:14854,"Legends AO, Melbourne, Australia Women Doubles",sr:competition:14832,doubles,women,Legends,sr:category:1475
sr:competition:15419,"Legends French Open, Paris, France Men Doubles",sr:competition:15417,doubles,men,Legends,sr:category:1475
sr:competition:15421,"Legends French Open, Paris, France Women Doubles",sr:competition:15417,doubles,women,Legends,sr:category:1475
sr:competition:15664,"Legends Wimbledon, London, GB Men Doubles",sr:competition:15662,doubles,men,Legends,sr:category:1475
sr:competition:15666,"Legends Wimbledon, London, GB Women Doubles",sr:competition:15662,doubles,women,Legends,sr:category:1475
sr:competition:18058,"Legends US Open, New York, USA Men Doubles",sr:competition:18056,doubles,men,Legends,sr:category:1475
sr:competition:18060,"Legends US Open, New York, USA Women Doubles",sr:competition:18056,doubles,women,Legends,sr:category:1475
sr:competition:36137,"Legends Australian Open, Melbourne, Australia, Mixed Doubles",sr:competition:14832,mixed_doubles,mixed,Legends,sr:category:1475
sr:competition:37319,"Legends Wimbledon, London, Great Britain Mixed Doubles",sr:competition:15662,mixed_doubles,mixed,Legends,sr:category:1475
sr:competition:40069,"Legends French Open, Paris, France Mixed Doubles",sr:competition:15417,mixed_doubles,mixed,Legends,sr:category:1475
sr:competition:14824,"Wheelchairs AO, Melbourne, Australia Men Singles",sr:competition:14822,singles,men,Wheelchairs,sr:category:1476
sr:competition:14826,"Wheelchairs AO, Melbourne, Australia Men Doubles",sr:competition:14822,doubles,men,Wheelchairs,sr:category:1476
sr:competition:14828,"Wheelchairs AO, Melbourne, Australia Women Singles",sr:competition:14822,singles,women,Wheelchairs,sr:category:1476
sr:competition:14830,"Wheelchairs AO, Melbourne, Australia Women Doubles",sr:competition:14822,doubles,women,Wheelchairs,sr:category:1476
sr:competition:15409,"Wheelchairs French Open, Paris, France Men Singles",sr:competition:15407,singles,men,Wheelchairs,sr:category:1476
sr:competition:15411,"Wheelchairs French Open, Paris, France Men Doubles",sr:competition:15407,doubles,men,Wheelchairs,sr:category:1476
sr:competition:15413,"Wheelchairs French Open, Paris, France Women Singles",sr:competition:15407,singles,women,Wheelchairs,sr:category:1476
sr:competition:15415,"Wheelchairs French Open, Paris, France Women Doubles",sr:competition:15407,doubles,women,Wheelchairs,sr:category:1476
sr:competition:15670,"Wheelchairs Wimbledon, London, GB Men Singles",sr:competition:15668,singles,men,Wheelchairs,sr:category:1476
sr:competition:15672,"Wheelchairs Wimbledon, London, GB Men Doubles",sr:competition:15668,doubles,men,Wheelchairs,sr:category:1476
sr:competition:15674,"Wheelchairs Wimbledon, London, GB Women Singles",sr:competition:15668,singles,women,Wheelchairs,sr:category:1476
sr:competition:15676,"Wheelchairs Wimbledon, London, GB Women Doubles",sr:competition:15668,doubles,women,Wheelchairs,sr:category:1476
sr:competition:18048,"Wheelchairs US Open, New York, USA Men Singles",sr:competition:18046,singles,men,Wheelchairs,sr:category:1476
sr:competition:18050,"Wheelchairs US Open, New York, USA Men Doubles",sr:competition:18046,doubles,men,Wheelchairs,sr:category:1476
sr:competition:18052,"Wheelchairs US Open, New York, USA Women Singles",sr:competition:18046,singles,women,Wheelchairs,sr:category:1476
sr:competition:18054,"Wheelchairs US Open, New York, USA Women Doubles",sr:competition:18046,doubles,women,Wheelchairs,sr:category:1476
sr:competition:620,"Hopman Cup",,mixed,mixed,"Hopman Cup",sr:category:181
sr:competition:10181,"ITF Women Campos Do Jordao, Brazil Women Singles",sr:competition:10179,singles,women,"ITF Women",sr:category:213
sr:competition:10183,"ITF Women Campos Do Jordao, Brazil Women Doubles",sr:competition:10179,doubles,women,"ITF Women",sr:category:213
sr:competition:10421,"ITF Women Brcko, Bosnia & Herzegovina Women Singles",sr:competition:10419,singles,women,"ITF Women",sr:category:213
sr:competition:10423,"ITF Women Brcko, Bosnia & Herzegovina Women Doubles",sr:competition:10419,doubles,women,"ITF Women",sr:category:213
sr:competition:10757,"ITF Women Albena, Bulgaria Women Singles",sr:competition:10755,singles,women,"ITF Women",sr:category:213
sr:competition:10759,"ITF Women Albena, Bulgaria Women Doubles",sr:competition:10755,doubles,women,"ITF Women",sr:category:213
sr:competition:11051,"ITF Women Monterrey, Mexico Women Singles",sr:competition:11049,singles,women,"ITF Women",sr:category:213
sr:competition:11053,"ITF Women Monterrey, Mexico Women Doubles",sr:competition:11049,doubles,women,"ITF Women",sr:category:213
sr:competition:11081,"ITF Women Duino Aurisina, Italy Women Singles",sr:competition:11079,singles,women,"ITF Women",sr:category:213
sr:competition:11083,"ITF Women Duino Aurisina, Italy Women Doubles",sr:competition:11079,doubles,women,"ITF Women",sr:category:213
sr:competition:11403,"ITF Women Melbourne, Australia Women Singles",sr:competition:11401,singles,women,"ITF Women",sr:category:213
sr:competition:11405,"ITF Women Melbourne, Australia Women Doubles",sr:competition:11401,doubles,women,"ITF Women",sr:category:213
sr:competition:11913,"ITF Women Santa Fe, Argentina Women Singles",sr:competition:11911,singles,women,"ITF Women",sr:category:213
sr:competition:11915,"ITF Women Santa Fe, Argentina Women Doubles",sr:competition:11911,doubles,women,"ITF Women",sr:category:213
sr:competition:12663,"ITF Women Eastbourne, Great Britain Women Singles",sr:competition:12661,singles,women,"ITF Women",sr:category:213
sr:competition:12665,"ITF Women Eastbourne, Great Britain Women Doubles",sr:competition:12661,doubles,women,"ITF Women",sr:category:213
sr:competition:12723,"ITF Women Grand Baie La Croisette, Mauritius Women Singles",sr:competition:12721,singles,women,"ITF Women",sr:category:213
sr:competition:12725,"ITF Women Grand Baie La Croisette, Mauritius Women Doubles",sr:competition:12721,doubles,women,"ITF Women",sr:category:213
sr:competition:12741,"ITF Women Baton Rouge, USA Women Singles",sr:competition:12739,singles,women,"ITF Women",sr:category:213
sr:competition:12743,"ITF Women Baton Rouge, USA Women Doubles",sr:competition:12739,doubles,women,"ITF Women",sr:category:213
sr:competition:12747,"ITF Women Kaohsiung, Chinese Taipei Women Singles",sr:competition:12745,singles,women,"ITF Women",sr:category:213
sr:competition:12749,"ITF Women Kaohsiung, Chinese Taipei Women Doubles",sr:competition:12745,doubles,women,"ITF Women",sr:category:213
sr:competition:12819,"ITF Women Bursa, Turkey Women Singles",sr:competition:12817,singles,women,"ITF Women",sr:category:213
sr:competition:12821,"ITF Women Bursa, Turkey Women Doubles",sr:competition:12817,doubles,women,"ITF Women",sr:category:213
sr:competition:12975,"ITF Women Graz, Austria Women Singles",sr:competition:12973,singles,women,"ITF Women",sr:category:213
sr:competition:12977,"ITF Women Graz, Austria Women Doubles",sr:competition:12973,doubles,women,"ITF Women",sr:category:213
sr:competition:12981,"ITF Women Koper, Slovenia Women Singles",sr:competition:12979,singles,women,"ITF Women",sr:category:213
sr:competition:12983,"ITF Women Koper, Slovenia Women Doubles",sr:competition:12979,doubles,women,"ITF Women",sr:category:213
sr:competition:12987,"ITF Women Cakovec, Croatia Women Singles",sr:competition:12985,singles,women,"ITF Women",sr:category:213
sr:competition:12989,"ITF Women Cakovec, Croatia Women Doubles",sr:competition:12985,doubles,women,"ITF Women",sr:category:213
sr:competition:12999,"ITF Women Kiryat Gat, Israel Women Singles",sr:competition:12997,singles,women,"ITF Women",sr:category:213
sr:competition:13001,"ITF Women Kiryat Gat, Israel Women Doubles",sr:competition:12997,doubles,women,"ITF Women",sr:category:213
sr:competition:13035,"ITF Women Tiberias, Israel Women Singles",sr:competition:13033,singles,women,"ITF Women",sr:category:213
sr:competition:13037,"ITF Women Tiberias, Israel Women Doubles",sr:competition:13033,doubles,women,"ITF Women",sr:category:213
sr:competition:13047,"ITF Women San Carlos, Argentina Women Singles",sr:competition:13045,singles,women,"ITF Women",sr:category:213
sr:competition:13049,"ITF Women San Carlos, Argentina Women Doubles",sr:competition:13045,doubles,women,"ITF Women",sr:category:213
sr:competition:13101,"ITF Women Kirkland, USA Women Singles",sr:competition:13099,singles,women,"ITF Women",sr:category:213
sr:competition:13103,"ITF Women Kirkland, USA Women Doubles",sr:competition:13099,doubles,women,"ITF Women",sr:category:213
sr:competition:13191,"ITF Women Raipur, India Women Singles",sr:competition:13189,singles,women,"ITF Women",sr:category:213
sr:competition:13193,"ITF Women Raipur, India Women Doubles",sr:competition:13189,doubles,women,"ITF Women",sr:category:213
sr:competition:13251,"ITF Women Bratislava, Slovakia Women Singles",sr:competition:13249,singles,women,"ITF Women",sr:category:213
sr:competition:13253,"ITF Women Bratislava, Slovakia Women Doubles",sr:competition:13249,doubles,women,"ITF Women",sr:category:213
sr:competition:13269,"ITF Women Gulbarga, India Women Singles",sr:competition:13267,singles,women,"ITF Women",sr:category:213
sr:competition:13271,"ITF Women Gulbarga, India Women Doubles",sr:competition:13267,doubles,women,"ITF Women",sr:category:213
sr:competition:13281,"ITF Women Tel Aviv-Ramat Gan, Israel Women Singles",sr:competition:13279,singles,women,"ITF Women",sr:category:213
sr:competition:13283,"ITF Women Tel Aviv-Ramat Gan, Israel Women Doubles",sr:competition:13279,doubles,women,"ITF Women",sr:category:213
sr:competition:13317,"ITF Women Indore, India Women Singles",sr:competition:13315,singles,women,"ITF Women",sr:category:213
sr:competition:13319,"ITF Women Indore, India Women Doubles",sr:competition:13315,doubles,women,"ITF Women",sr:category:213
sr:competition:13413,"ITF Djibouti 02A, Women Singles",sr:competition:13411,singles,women,"ITF Women",sr:category:213
sr:competition:13415,"ITF Djibouti 02A, Women Doubles",sr:competition:13411,doubles,women,"ITF Women",sr:category:213
sr:competition:13437,"ITF USA 04A, Women Singles",sr:competition:13435,singles,women,"ITF Women",sr:category:213
sr:competition:13439,"ITF USA 04A, Women Doubles",sr:competition:13435,doubles,women,"ITF Women",sr:category:213
sr:competition:13557,"ITF Hong Kong 04A, Women Singles",sr:competition:13555,singles,women,"ITF Women",sr:category:213
sr:competition:13559,"ITF Hong Kong 04A, Women Doubles",sr:competition:13555,doubles,women,"ITF Women",sr:category:213
sr:competition:13587,"ITF Women Lins, Brazil Women Singles",sr:competition:13585,singles,women,"ITF Women",sr:category:213
sr:competition:13589,"ITF Women Lins, Brazil Women Doubles",sr:competition:13585,doubles,women,"ITF Women",sr:category:213
sr:competition:13599,"ITF Women Bauru, Brazil Women Singles",sr:competition:13597,singles,women,"ITF Women",sr:category:213
sr:competition:13601,"ITF Women Bauru, Brazil Women Doubles",sr:competition:13597,doubles,women,"ITF Women",sr:category:213
sr:competition:13605,"ITF Georgia 02A, Women Singles",sr:competition:13603,singles,women,"ITF Women",sr:category:213
sr:competition:13607,"ITF Georgia 02A, Women Doubles",sr:competition:13603,doubles,women,"ITF Women",sr:category:213
sr:competition:13611,"ITF Russia 07A, Women Singles",sr:competition:13609,singles,women,"ITF Women",sr:category:213
sr:competition:13613,"ITF Russia 07A, Women Doubles",sr:competition:13609,doubles,women,"ITF Women",sr:category:213
sr:competition:13617,"ITF Hungary 03A, Women Singles",sr:competition:13615,singles,women,"ITF Women",sr:category:213
sr:competition:13619,"ITF Hungary 03A, Women Doubles",sr:competition:13615,doubles,women,"ITF Women",sr:category:213
sr:competition:13623,"ITF Spain 05A, Women Doubles",sr:competition:13621,doubles,women,"ITF Women",sr:category:213
sr:competition:13625,"ITF Spain 05A, Women Singles",sr:competition:13621,singles,women,"ITF Women",sr:category:213
sr:competition:13703,"ITF Spain 07A, Women Singles",sr:competition:13701,singles,women,"ITF Women",sr:category:213
sr:competition:13705,"ITF Spain 07A, Women Doubles",sr:competition:13701,doubles,women,"ITF Women",sr:category:213
sr:competition:13709,"ITF Women Baku, Azerbaijan Women Singles",sr:competition:13707,singles,women,"ITF Women",sr:category:213
sr:competition:13711,"ITF Women Baku, Azerbaijan Women Doubles",sr:competition:13707,doubles,women,"ITF Women",sr:category:213
sr:competition:13749,"ITF Israel 03A, Women Singles",sr:competition:13747,singles,women,"ITF Women",sr:category:213
sr:competition:13751,"ITF Israel 03A, Women Doubles",sr:competition:13747,doubles,women,"ITF Women",sr:category:213
sr:competition:13819,"ITF Hungary 05A, Women Singles",sr:competition:13817,singles,women,"ITF Women",sr:category:213
sr:competition:13821,"ITF Hungary 05A, Women Doubles",sr:competition:13817,doubles,women,"ITF Women",sr:category:213
sr:competition:13825,"ITF Italy 15A, Women Singles",sr:competition:13823,singles,women,"ITF Women",sr:category:213
sr:competition:13827,"ITF Italy 15A, Women Doubles",sr:competition:13823,doubles,women,"ITF Women",sr:category:213
sr:competition:13831,"ITF Portugal 03A, Women Singles",sr:competition:13829,singles,women,"ITF Women",sr:category:213
sr:competition:13833,"ITF Portugal 03A, Women Doubles",sr:competition:13829,doubles,women,"ITF Women",sr:category:213
sr:competition:13873,"ITF Germany 06A, Women Singles",sr:competition:13871,singles,women,"ITF Women",sr:category:213
sr:competition:13875,"ITF Germany 06A, Women Doubles",sr:competition:13871,doubles,women,"ITF Women",sr:category:213
sr:competition:13929,"ITF Portugal 19A, Women Singles",sr:competition:13927,singles,women,"ITF Women",sr:category:213
